x,y,z
15789.5,-10309.6,880.527
15882.4,-10309.6,876.605
15882.4,-10402.5,871.687
15975.2,-10495.4,864.043
16068.1,-10588.2,864.242
16068.1,-10681.1,859.789
16161,-10774,861.052
16253.9,-10866.9,858.061
16346.7,-10959.8,855.668
16439.6,-11052.6,853.142
16532.5,-11145.5,847.027
16625.4,-11238.4,842.374
16718.3,-11238.4,837.721
16811.1,-11331.3,839.45
16904,-11331.3,834.332
16996.9,-11331.3,830.942
17089.8,-11331.3,827.951
17182.7,-11424.1,825.824
17275.5,-11517,821.304
17368.4,-11609.9,820.839
17461.3,-11702.8,819.243
17554.2,-11795.7,816.053
17647.1,-11888.5,811.666
17739.9,-11981.4,806.814
17832.8,-12074.3,804.221
17925.7,-12167.2,802.427
18018.6,-12167.2,798.572
18111.5,-12167.2,796.644
18204.3,-12167.2,796.179
18297.2,-12260.1,793.985
18390.1,-12352.9,792.922
18483,-12445.8,791.327
18575.9,-12538.7,788.867
18668.7,-12631.6,788.136
18761.6,-12724.5,789.133
18854.5,-12724.5,786.408
18947.4,-12724.5,790.529
19040.2,-12817.3,784.148
19133.1,-12817.3,786.74
19226,-12910.2,783.882
19226,-13003.1,784.281
19318.9,-13096,782.22
19411.8,-13096,782.619
19504.6,-13188.9,775.241
19597.5,-13281.7,777.036
19690.4,-13374.6,783.55
19783.3,-13374.6,785.344
19876.2,-13467.5,791.526
19969,-13467.5,789.798
20061.9,-13560.4,785.012
20154.8,-13653.3,784.148
20247.7,-13746.1,770.589
20340.6,-13839,776.837
20433.4,-13839,765.736
20526.3,-13839,765.936
20619.2,-13839,763.476
20712.1,-13839,759.555
20805,-13839,767.996
20897.8,-13746.1,769.459
20990.7,-13746.1,764.673
21083.6,-13839,759.621
21176.5,-13839,753.706
21269.3,-13839,757.627
21362.2,-13839,739.88
21455.1,-13839,730.641
21548,-13931.9,724.46
21640.9,-13931.9,724.858
21733.7,-13931.9,722.931
21826.6,-13931.9,727.783
21919.5,-14024.8,725.124
22012.4,-14117.6,723.994
22105.3,-14117.6,737.288
22198.1,-14117.6,742.738
22291,-14117.6,734.496
22383.9,-14117.6,741.077
22476.8,-14210.5,725.922
22569.7,-14210.5,716.084
22662.5,-14303.4,723.13
22755.4,-14303.4,720.937
22848.3,-14396.3,721.867
22755.4,-14489.2,724.925
22848.3,-14582,725.789
22941.2,-14582,731.173
23034.1,-14489.2,736.357
23126.9,-14396.3,738.883
23219.8,-14396.3,747.458
23312.7,-14396.3,754.836
23405.6,-14396.3,754.37
23498.5,-14396.3,752.775
23591.3,-14489.2,772.051
23498.5,-14489.2,781.223
23591.3,-14582,788.734
23498.5,-14674.9,804.554
23591.3,-14674.9,807.478
23498.5,-14582,812.397
23405.6,-14674.9,830.211
23312.7,-14582,835.462
23405.6,-14582,843.571
23312.7,-14674.9,848.622
23219.8,-14674.9,858.061
23219.8,-14767.8,866.17
23126.9,-14767.8,884.249
23034.1,-14767.8,892.691
